DN;Variant;Element;Type;EndPoint1;EndPoint2;CentrePoint
32;V3;pipe;RETUR;534.4 740 0;0 740 0;
32;V4;elbow;FREM;558.5 740 -6.5;600 692 -30.7;600 740 -30.7
32;V4;elbow;FREM;558.5 740 -6.5;534.4 740 0;547.3 740 0
32;V4;pipe;FREM;600 692 -30.7;600 0 -30.7;
32;V4;pipe;FREM;534.4 740 0;0 740 0;
32;V4;elbow;RETUR;558.5 1000 6.5;600 952 30.7;600 1000 30.7
32;V4;elbow;RETUR;558.5 1000 6.5;534.4 1000 0;547.3 1000 0
32;V4;pipe;RETUR;600 952 30.7;600 0 30.7;
32;V4;pipe;RETUR;534.4 1000 0;0 1000 0;
25;V1;elbow;FREM;32 1000 -5.95;0 962 -26.35;0 1000 -26.35
25;V1;elbow;FREM;32 1000 -5.95;52.4 1000 -0.05;41.4 1000 -0.05
25;V1;pipe;FREM;0 962 -26.35;0 0 -26.35;
25;V1;pipe;FREM;52.4 1000 -0.05;600 1000 -0.05;
25;V1;elbow;RETUR;32 760 5.85;0 722 26.35;0 760 26.35
25;V1;elbow;RETUR;32 760 5.85;52.4 760 -0.05;41.4 760 -0.05
25;V1;pipe;RETUR;0 0 26.35;0 722 26.35;
25;V1;pipe;RETUR;52.4 760 -0.05;600 760 -0.05;
25;V2;elbow;FREM;32 760 -5.95;0 722 -26.35;0 760 -26.35
25;V2;elbow;FREM;32 760 -5.95;52.4 760 -0.05;41.4 760 -0.05
25;V2;pipe;FREM;0 722 -26.35;0 0 -26.35;
25;V2;pipe;FREM;600 760 -0.05;52.4 760 -0.05;
25;V2;elbow;RETUR;32 1000 5.85;0 962 26.35;0 1000 26.35
25;V2;elbow;RETUR;32 1000 5.85;52.4 1000 -0.05;41.4 1000 -0.05
25;V2;pipe;RETUR;0 0 26.35;0 962 26.35;
25;V2;pipe;RETUR;52.4 1000 -0.05;600 1000 -0.05;
25;V3;elbow;FREM;568 1000 -5.95;600 962 -26.35;600 1000 -26.35
25;V3;elbow;FREM;568 1000 -5.95;547.6 1000 -0.05;558.6 1000 -0.05
25;V3;pipe;FREM;600 0 -26.35;600 962 -26.35;
25;V3;pipe;FREM;0 1000 -0.05;547.6 1000 -0.05;
25;V3;elbow;RETUR;568 760 5.85;600 722 26.35;600 760 26.35
25;V3;elbow;RETUR;568 760 5.85;547.6 760 -0.05;558.6 760 -0.05
25;V3;pipe;RETUR;600 0 26.35;600 722 26.35;
25;V3;pipe;RETUR;547.6 760 -0.05;0 760 -0.05;
25;V4;elbow;FREM;568 760 -5.95;600 722 -26.35;600 760 -26.35
25;V4;elbow;FREM;568 760 -5.95;547.6 760 -0.05;558.6 760 -0.05
25;V4;pipe;FREM;600 0 -26.35;600 722 -26.35;
25;V4;pipe;FREM;0 760 -0.05;547.6 760 -0.05;
25;V4;elbow;RETUR;568 1000 5.85;600 962 26.35;600 1000 26.35
25;V4;elbow;RETUR;568 1000 5.85;547.6 1000 -0.05;558.6 1000 -0.05
25;V4;pipe;RETUR;600 0 26.35;600 962 26.35;
25;V4;pipe;RETUR;0 1000 -0.05;547.6 1000 -0.05;
20;V1;elbow;FREM;33.3 1000 -4.7;0 962 -22.9;0 1000 -22.9
20;V1;elbow;FREM;33.3 1000 -4.7;51.6 1000 0;41.8 1000 0
20;V1;pipe;FREM;0 0 -23;0 962 -22.9;
20;V1;pipe;FREM;51.6 1000 0;600 1000 0;
20;V1;elbow;RETUR;33.3 760 4.7;0 722 22.9;0 760 22.9
20;V1;elbow;RETUR;33.3 760 4.7;51.6 760 0;41.8 760 0
20;V1;pipe;RETUR;0 722 22.9;0 0 23;
20;V1;pipe;RETUR;600 760 0;51.6 760 0;
20;V2;elbow;FREM;33.3 760 -4.7;0 722 -22.9;0 760 -22.9
20;V2;elbow;FREM;33.3 760 -4.7;51.6 760 0;41.8 760 0
20;V2;pipe;FREM;0 0 -23;0 722 -22.9;
20;V2;pipe;FREM;600 760 0;51.6 760 0;
20;V2;elbow;RETUR;33.3 1000 4.7;0 962 22.9;0 1000 22.9
20;V2;elbow;RETUR;33.3 1000 4.7;51.6 1000 0;41.8 1000 0
20;V2;pipe;RETUR;0 962 22.9;0 0 23;
20;V2;pipe;RETUR;600 1000 0;51.6 1000 0;
20;V3;elbow;FREM;566.7 1000 -4.7;600 962 -22.9;600 1000 -22.9
20;V3;elbow;FREM;566.7 1000 -4.7;548.4 1000 0;558.2 1000 0
20;V3;pipe;FREM;600 0 -23;600 962 -22.9;
20;V3;pipe;FREM;548.4 1000 0;0 1000 0;
20;V3;elbow;RETUR;566.7 760 4.7;600 722 22.9;600 760 22.9
20;V3;elbow;RETUR;566.7 760 4.7;548.4 760 0;558.2 760 0
20;V3;pipe;RETUR;600 0 23;600 722 22.9;
20;V3;pipe;RETUR;0 760 0;548.4 760 0;
20;V4;elbow;FREM;566.7 760 -4.7;600 722 -22.9;600 760 -22.9
20;V4;elbow;FREM;566.7 760 -4.7;548.4 760 0;558.2 760 0
20;V4;pipe;FREM;600 722 -22.9;600 0 -23;
20;V4;pipe;FREM;0 760 0;548.4 760 0;
20;V4;elbow;RETUR;566.7 1000 4.7;600 962 22.9;600 1000 22.9
20;V4;elbow;RETUR;566.7 1000 4.7;548.4 1000 0;558.2 1000 0
20;V4;pipe;RETUR;600 0 23;600 962 22.9;
20;V4;pipe;RETUR;0 1000 0;548.4 1000 0;
